Itemset,Item,Item Rank,Cumulative Lift
"Sex=female,Pclass=1",Sex=female,1,1.9332048
"Sex=female,Pclass=1",Pclass=1,2,2.5221165
"Sex=female,Parch=0",Sex=female,1,1.9332048
"Sex=female,Parch=0",Parch=0,5,2.0546663
"Sex=female,SibSp=0",Sex=female,1,1.9332048
"Sex=female,SibSp=0",SibSp=0,4,2.0512704
"Sex=female,SibSp=0,Parch=0",Sex=female,1,1.9332048
"Sex=female,SibSp=0,Parch=0",SibSp=0,4,2.0512704
"Sex=female,SibSp=0,Parch=0",Parch=0,5,2.0469925
"Sex=female,SibSp=0,Embarked=S",Sex=female,1,1.9332048
"Sex=female,SibSp=0,Embarked=S",SibSp=0,4,2.0512704
"Sex=female,SibSp=0,Embarked=S",Embarked=S,6,2.0097744
"Sex=female,SibSp=1",Sex=female,1,1.9332048
"Sex=female,SibSp=1",SibSp=1,3,1.9662363
Sex=female,Sex=female,1,1.9332048
"Sex=female,Embarked=S",Sex=female,1,1.9332048
"Sex=female,Embarked=S",Embarked=S,6,1.7967332
Pclass=1,Pclass=1,2,1.6403509
SibSp=1,SibSp=1,3,1.3961219
SibSp=0,SibSp=0,4,0.8998442
Parch=0,Parch=0,5,0.895319
Embarked=S,Embarked=S,6,0.8778604
"SibSp=0,Embarked=S",SibSp=0,4,0.8998442
"SibSp=0,Embarked=S",Embarked=S,6,0.7910959
"SibSp=0,Parch=0",SibSp=0,4,0.8998442
"SibSp=0,Parch=0",Parch=0,5,0.7907968